cell,coverage_tokens,event,gateway_arrival_time,gateway_send_time,generation_time,op,owner,payload_bytes,policy,prefix_digest64,queue_age_s,selected,semantic_score,stage,suppression_reason,update_id
16096,2048,update,1785043412.936978,,1785043412.936511,upsert,0,64,RateFIFO,15769623694692820738,0.00046706199645996094,True,,enqueued,,0
16096,2048,update,1785043412.9374516,1785043412.9374516,1785043412.936511,upsert,0,64,RateFIFO,15769623694692820738,0.0009405612945556641,True,,forwarded,,0
16096,2048,update,1785043412.9376094,,1785043412.9365978,upsert,1,64,RateFIFO,15769623694692820738,0.0010116100311279297,False,,suppressed,rate_limit,1
16096,2048,update,1785043412.9377158,,1785043412.936657,upsert,2,64,RateFIFO,15769623694692820738,0.001058816909790039,False,,suppressed,rate_limit,2
16096,2048,update,1785043412.937827,,1785043412.9366994,upsert,3,64,RateFIFO,15769623694692820738,0.0011277198791503906,False,,suppressed,rate_limit,3
16096,4096,update,1785043424.156182,,1785043424.1556673,upsert,0,64,RateFIFO,12613465747135452669,0.0005147457122802734,True,,enqueued,,4
16096,4096,update,1785043424.1566336,1785043424.1566336,1785043424.1556673,upsert,0,64,RateFIFO,12613465747135452669,0.0009663105010986328,True,,forwarded,,4
16096,4096,update,1785043424.156819,,1785043424.155873,upsert,3,64,RateFIFO,12613465747135452669,0.000946044921875,False,,suppressed,rate_limit,7
16096,4096,update,1785043424.1569285,,1785043424.1557674,upsert,1,64,RateFIFO,12613465747135452669,0.0011610984802246094,False,,suppressed,rate_limit,5
16096,4096,update,1785043424.1570194,,1785043424.1558344,upsert,2,64,RateFIFO,12613465747135452669,0.0011849403381347656,False,,suppressed,rate_limit,6
16096,1024,update,1785043425.4278584,,1785043425.4274375,upsert,0,64,RateFIFO,12523743054995375112,0.0004208087921142578,True,,enqueued,,8
16096,1024,update,1785043425.4282653,1785043425.4282653,1785043425.4274375,upsert,0,64,RateFIFO,12523743054995375112,0.000827789306640625,True,,forwarded,,8
16096,1024,update,1785043425.428413,,1785043425.4276173,upsert,3,64,RateFIFO,12523743054995375112,0.0007956027984619141,False,,suppressed,rate_limit,11
16096,1024,update,1785043425.4285119,,1785043425.4275784,upsert,2,64,RateFIFO,12523743054995375112,0.0009334087371826172,False,,suppressed,rate_limit,10
16096,1024,update,1785043425.428597,,1785043425.4275315,upsert,1,64,RateFIFO,12523743054995375112,0.0010654926300048828,False,,suppressed,rate_limit,9
16096,2048,update,1785043429.2665315,,1785043429.2661717,upsert,0,64,RateFIFO,9971321710674973507,0.0003597736358642578,True,,enqueued,,12
16096,2048,update,1785043429.266835,1785043429.266835,1785043429.2661717,upsert,0,64,RateFIFO,9971321710674973507,0.0006632804870605469,True,,forwarded,,12
16096,2048,update,1785043429.266993,,1785043429.2662904,upsert,1,64,RateFIFO,9971321710674973507,0.0007026195526123047,False,,suppressed,rate_limit,13
16096,2048,update,1785043429.2670984,,1785043429.2663393,upsert,2,64,RateFIFO,9971321710674973507,0.000759124755859375,False,,suppressed,rate_limit,14
16096,2048,update,1785043429.2671854,,1785043429.2663777,upsert,3,64,RateFIFO,9971321710674973507,0.0008077621459960938,False,,suppressed,rate_limit,15
16096,1024,update,1785043430.5289214,,1785043430.5284066,upsert,0,64,RateFIFO,4650049274038987083,0.0005147457122802734,True,,enqueued,,16
16096,1024,update,1785043430.529353,1785043430.529353,1785043430.5284066,upsert,0,64,RateFIFO,4650049274038987083,0.0009462833404541016,True,,forwarded,,16
16096,1024,update,1785043430.529501,,1785043430.5285892,upsert,3,64,RateFIFO,4650049274038987083,0.000911712646484375,False,,suppressed,rate_limit,19
16096,1024,update,1785043430.5296013,,1785043430.5285513,upsert,2,64,RateFIFO,4650049274038987083,0.0010499954223632812,False,,suppressed,rate_limit,18
16096,1024,update,1785043430.529687,,1785043430.528504,upsert,1,64,RateFIFO,4650049274038987083,0.0011830329895019531,False,,suppressed,rate_limit,17
16096,1024,update,1785043431.8217428,,1785043431.8212,upsert,0,64,RateFIFO,3163096543987652428,0.0005428791046142578,True,,enqueued,,20
16096,1024,update,1785043431.8222094,1785043431.8222094,1785043431.8212,upsert,0,64,RateFIFO,3163096543987652428,0.0010094642639160156,True,,forwarded,,20
16096,1024,update,1785043431.8223581,,1785043431.8213885,upsert,3,64,RateFIFO,3163096543987652428,0.0009696483612060547,False,,suppressed,rate_limit,23
16096,1024,update,1785043431.822461,,1785043431.8213418,upsert,2,64,RateFIFO,3163096543987652428,0.0011191368103027344,False,,suppressed,rate_limit,22
16096,1024,update,1785043431.8225484,,1785043431.8212965,upsert,1,64,RateFIFO,3163096543987652428,0.0012519359588623047,False,,suppressed,rate_limit,21
16096,1024,update,1785043433.133544,,1785043433.1331098,upsert,0,64,RateFIFO,10402019323283478844,0.0004341602325439453,True,,enqueued,,24
16096,1024,update,1785043433.134007,1785043433.134007,1785043433.1331098,upsert,0,64,RateFIFO,10402019323283478844,0.0008971691131591797,True,,forwarded,,24
16096,1024,update,1785043433.1341598,,1785043433.133285,upsert,3,64,RateFIFO,10402019323283478844,0.0008747577667236328,False,,suppressed,rate_limit,27
16096,1024,update,1785043433.134261,,1785043433.1332016,upsert,1,64,RateFIFO,10402019323283478844,0.0010592937469482422,False,,suppressed,rate_limit,25
16096,1024,update,1785043433.1343489,,1785043433.1332471,upsert,2,64,RateFIFO,10402019323283478844,0.0011017322540283203,False,,suppressed,rate_limit,26
16096,4096,update,1785043444.673953,,1785043444.6736276,upsert,0,64,RateFIFO,14064140743279553366,0.0003254413604736328,True,,enqueued,,28
16096,4096,update,1785043444.6742024,1785043444.6742024,1785043444.6736276,upsert,0,64,RateFIFO,14064140743279553366,0.0005748271942138672,True,,forwarded,,28
16096,4096,update,1785043444.6742802,,1785043444.673725,upsert,1,64,RateFIFO,14064140743279553366,0.0005552768707275391,False,,suppressed,rate_limit,29
16096,4096,update,1785043444.6743276,,1785043444.6738021,upsert,2,64,RateFIFO,14064140743279553366,0.0005254745483398438,False,,suppressed,rate_limit,30
16096,4096,update,1785043444.674368,,1785043444.6738455,upsert,3,64,RateFIFO,14064140743279553366,0.0005223751068115234,False,,suppressed,rate_limit,31
16096,1024,update,1785043446.015651,,1785043446.0151796,upsert,0,64,RateFIFO,12376960631178457983,0.00047135353088378906,True,,enqueued,,32
16096,1024,update,1785043446.01614,1785043446.01614,1785043446.0151796,upsert,0,64,RateFIFO,12376960631178457983,0.0009603500366210938,True,,forwarded,,32
16096,1024,update,1785043446.0163004,,1785043446.015363,upsert,3,64,RateFIFO,12376960631178457983,0.0009374618530273438,False,,suppressed,rate_limit,35
16096,1024,update,1785043446.016405,,1785043446.0153244,upsert,2,64,RateFIFO,12376960631178457983,0.0010807514190673828,False,,suppressed,rate_limit,34
16096,1024,update,1785043446.0164945,,1785043446.015277,upsert,1,64,RateFIFO,12376960631178457983,0.0012176036834716797,False,,suppressed,rate_limit,33
16096,2048,update,1785043449.8085864,,1785043449.8081353,upsert,0,64,RateFIFO,947483498426156190,0.00045108795166015625,True,,enqueued,,36
16096,2048,update,1785043449.8088043,1785043449.8088043,1785043449.8081353,upsert,0,64,RateFIFO,947483498426156190,0.0006690025329589844,True,,forwarded,,36
16096,2048,update,1785043449.808881,,1785043449.8083177,upsert,3,64,RateFIFO,947483498426156190,0.0005633831024169922,False,,suppressed,rate_limit,39
16096,2048,update,1785043449.8091073,,1785043449.8082786,upsert,2,64,RateFIFO,947483498426156190,0.0008287429809570312,False,,suppressed,rate_limit,38
16096,2048,update,1785043449.80921,,1785043449.8082328,upsert,1,64,RateFIFO,947483498426156190,0.0009772777557373047,False,,suppressed,rate_limit,37
16096,1024,update,1785043451.1184862,,1785043451.1181204,upsert,0,64,RateFIFO,3073007241776570211,0.0003657341003417969,True,,enqueued,,40
16096,1024,update,1785043451.1188445,1785043451.1188445,1785043451.1181204,upsert,0,64,RateFIFO,3073007241776570211,0.0007240772247314453,True,,forwarded,,40
16096,1024,update,1785043451.1189966,,1785043451.1182163,upsert,1,64,RateFIFO,3073007241776570211,0.0007803440093994141,False,,suppressed,rate_limit,41
16096,1024,update,1785043451.119098,,1785043451.1182666,upsert,2,64,RateFIFO,3073007241776570211,0.0008313655853271484,False,,suppressed,rate_limit,42
16096,1024,update,1785043451.1191854,,1785043451.1183066,upsert,3,64,RateFIFO,3073007241776570211,0.0008788108825683594,False,,suppressed,rate_limit,43
16096,2048,update,1785043454.813768,,1785043454.8133955,upsert,0,64,RateFIFO,14108233664250482536,0.0003724098205566406,True,,enqueued,,44
16096,2048,update,1785043454.8140712,1785043454.8140712,1785043454.8133955,upsert,0,64,RateFIFO,14108233664250482536,0.0006756782531738281,True,,forwarded,,44
16096,2048,update,1785043454.8141632,,1785043454.8135428,upsert,2,64,RateFIFO,14108233664250482536,0.0006203651428222656,False,,suppressed,rate_limit,46
16096,2048,update,1785043454.8142188,,1785043454.8134975,upsert,1,64,RateFIFO,14108233664250482536,0.0007212162017822266,False,,suppressed,rate_limit,45
16096,2048,update,1785043454.8142655,,1785043454.8135824,upsert,3,64,RateFIFO,14108233664250482536,0.0006830692291259766,False,,suppressed,rate_limit,47
16096,2048,update,1785043458.555524,,1785043458.555078,upsert,0,64,RateFIFO,14774026810505956694,0.00044608116149902344,True,,enqueued,,48
16096,2048,update,1785043458.5559907,1785043458.5559907,1785043458.555078,upsert,0,64,RateFIFO,14774026810505956694,0.0009126663208007812,True,,forwarded,,48
16096,2048,update,1785043458.5561454,,1785043458.5552485,upsert,2,64,RateFIFO,14774026810505956694,0.0008969306945800781,False,,suppressed,rate_limit,50
16096,2048,update,1785043458.556247,,1785043458.5551925,upsert,1,64,RateFIFO,14774026810505956694,0.001054525375366211,False,,suppressed,rate_limit,49
16096,2048,update,1785043458.5563338,,1785043458.5552862,upsert,3,64,RateFIFO,14774026810505956694,0.0010476112365722656,False,,suppressed,rate_limit,51
16096,2048,update,1785043462.4203508,,1785043462.419916,upsert,0,64,RateFIFO,5281956220402968541,0.00043487548828125,True,,enqueued,,52
16096,2048,update,1785043462.420824,1785043462.420824,1785043462.419916,upsert,0,64,RateFIFO,5281956220402968541,0.0009081363677978516,True,,forwarded,,52
16096,2048,update,1785043462.4209785,,1785043462.4200127,upsert,1,64,RateFIFO,5281956220402968541,0.0009658336639404297,False,,suppressed,rate_limit,53
16096,2048,update,1785043462.4210832,,1785043462.420062,upsert,2,64,RateFIFO,5281956220402968541,0.0010211467742919922,False,,suppressed,rate_limit,54
16096,2048,update,1785043462.42117,,1785043462.420101,upsert,3,64,RateFIFO,5281956220402968541,0.0010690689086914062,False,,suppressed,rate_limit,55
16096,2048,update,1785043466.343155,,1785043466.3426683,upsert,0,64,RateFIFO,1785562587857272681,0.00048661231994628906,True,,enqueued,,56
16096,2048,update,1785043466.3435993,1785043466.3435993,1785043466.3426683,upsert,0,64,RateFIFO,1785562587857272681,0.0009310245513916016,True,,forwarded,,56
16096,2048,update,1785043466.3437524,,1785043466.342878,upsert,3,64,RateFIFO,1785562587857272681,0.0008742809295654297,False,,suppressed,rate_limit,59
16096,2048,update,1785043466.3438983,,1785043466.3427613,upsert,1,64,RateFIFO,1785562587857272681,0.0011370182037353516,False,,suppressed,rate_limit,57
16096,2048,update,1785043466.3439884,,1785043466.3428397,upsert,2,64,RateFIFO,1785562587857272681,0.0011487007141113281,False,,suppressed,rate_limit,58
16096,2048,update,1785043469.8907282,,1785043469.8903022,upsert,0,64,RateFIFO,1610475058989402671,0.0004260540008544922,True,,enqueued,,60
16096,2048,update,1785043469.8912127,1785043469.8912127,1785043469.8903022,upsert,0,64,RateFIFO,1610475058989402671,0.0009105205535888672,True,,forwarded,,60
16096,2048,update,1785043469.8913631,,1785043469.890397,upsert,1,64,RateFIFO,1610475058989402671,0.0009660720825195312,False,,suppressed,rate_limit,61
16096,2048,update,1785043469.8914645,,1785043469.890443,upsert,2,64,RateFIFO,1610475058989402671,0.0010213851928710938,False,,suppressed,rate_limit,62
16096,2048,update,1785043469.891551,,1785043469.890482,upsert,3,64,RateFIFO,1610475058989402671,0.0010690689086914062,False,,suppressed,rate_limit,63
16096,1024,update,1785043473.3981695,,1785043473.3977191,upsert,0,64,RateFIFO,12376960631178457983,0.00045037269592285156,True,,enqueued,,64
16096,2048,update,1785043473.3983557,,1785043473.3978643,upsert,0,64,RateFIFO,15769623694692820738,0.0004913806915283203,False,,suppressed,rate_limit,65
16096,1024,update,1785043473.3984492,,1785043473.3979142,upsert,0,64,RateFIFO,12523743054995375112,0.0005350112915039062,False,,suppressed,rate_limit,66
16096,1024,update,1785043473.398716,1785043473.398716,1785043473.3977191,upsert,0,64,RateFIFO,12376960631178457983,0.0009968280792236328,True,,forwarded,,64
16096,2048,update,1785043473.398881,,1785043473.3979533,upsert,1,64,RateFIFO,155989354309277790,0.0009276866912841797,False,,suppressed,rate_limit,67
16096,2048,update,1785043476.2620814,,1785043476.2615697,upsert,0,64,RateFIFO,9971321710674973507,0.0005116462707519531,True,,enqueued,,68
16096,2048,update,1785043476.2622662,,1785043476.2616682,upsert,0,64,RateFIFO,14108233664250482536,0.0005979537963867188,False,,suppressed,rate_limit,69
16096,2048,update,1785043476.262363,,1785043476.2617157,upsert,0,64,RateFIFO,947483498426156190,0.0006473064422607422,False,,suppressed,rate_limit,70
16096,2048,update,1785043476.2624407,,1785043476.2617557,upsert,0,64,RateFIFO,15769623694692820738,0.0006849765777587891,False,,suppressed,rate_limit,71
16096,2048,update,1785043476.262616,1785043476.262616,1785043476.2615697,upsert,0,64,RateFIFO,9971321710674973507,0.0010461807250976562,True,,forwarded,,68
16096,2048,update,1785043478.4057453,,1785043478.4052744,upsert,0,64,RateFIFO,9971321710674973507,0.00047087669372558594,True,,enqueued,,72
16096,1024,update,1785043478.4059563,,1785043478.4053662,upsert,0,64,RateFIFO,12523743054995375112,0.0005900859832763672,False,,suppressed,rate_limit,73
16096,1024,update,1785043478.4060516,,1785043478.4054103,upsert,0,64,RateFIFO,3073007241776570211,0.0006413459777832031,False,,suppressed,rate_limit,74
16096,2048,update,1785043478.4061265,,1785043478.4054496,upsert,0,64,RateFIFO,15769623694692820738,0.0006768703460693359,False,,suppressed,rate_limit,75
16096,2048,update,1785043478.4063058,1785043478.4063058,1785043478.4052744,upsert,0,64,RateFIFO,9971321710674973507,0.0010313987731933594,True,,forwarded,,72
16096,2048,update,1785043482.0061042,,1785043482.0055568,upsert,0,64,RateFIFO,15769623694692820738,0.0005474090576171875,True,,enqueued,,76
16096,4096,update,1785043482.006297,,1785043482.0056727,upsert,0,64,RateFIFO,12613465747135452669,0.0006244182586669922,False,,suppressed,rate_limit,77
16096,2048,update,1785043482.0066354,1785043482.0066354,1785043482.0055568,upsert,0,64,RateFIFO,15769623694692820738,0.0010786056518554688,True,,forwarded,,76
16096,2048,update,1785043482.0067725,,1785043482.0057633,upsert,2,64,RateFIFO,2684601022077970021,0.001009225845336914,False,,suppressed,rate_limit,79
16096,2048,update,1785043482.0069048,,1785043482.0057206,upsert,1,64,RateFIFO,13063325218966850298,0.001184225082397461,False,,suppressed,rate_limit,78
16096,2048,update,1785043483.3868985,,1785043483.3864417,upsert,0,64,RateFIFO,15769623694692820738,0.00045680999755859375,True,,enqueued,,80
16096,2048,update,1785043483.387084,,1785043483.3865397,upsert,0,64,RateFIFO,15769623694692820738,0.0005443096160888672,False,,suppressed,rate_limit,81
16096,2048,update,1785043483.3871796,,1785043483.3865824,upsert,0,64,RateFIFO,14108233664250482536,0.0005972385406494141,False,,suppressed,rate_limit,82
16096,2048,update,1785043483.387444,1785043483.387444,1785043483.3864417,upsert,0,64,RateFIFO,15769623694692820738,0.0010023117065429688,True,,forwarded,,80
16096,1024,update,1785043483.3875687,,1785043483.3866198,upsert,3,64,RateFIFO,6282787983175785235,0.0009489059448242188,False,,suppressed,rate_limit,83
16096,2048,update,1785043494.4441314,,1785043494.443662,upsert,0,64,RateFIFO,15769623694692820738,0.00046944618225097656,True,,enqueued,,84
16096,2048,update,1785043494.4443235,,1785043494.4439044,upsert,0,64,RateFIFO,15769623694692820738,0.0004191398620605469,False,,suppressed,rate_limit,86
16096,2048,update,1785043494.4446855,1785043494.4446855,1785043494.443662,upsert,0,64,RateFIFO,15769623694692820738,0.0010235309600830078,True,,forwarded,,84
16096,4096,update,1785043494.4448707,,1785043494.4438307,upsert,3,64,RateFIFO,4596497935095405733,0.0010399818420410156,False,,suppressed,rate_limit,85
16096,1024,update,1785043494.4449887,,1785043494.443946,upsert,2,64,RateFIFO,1187225797315579929,0.0010428428649902344,False,,suppressed,rate_limit,87
16096,1024,update,1785043496.468086,,1785043496.4676287,upsert,0,64,RateFIFO,3163096543987652428,0.0004572868347167969,True,,enqueued,,88
16096,1024,update,1785043496.4684396,1785043496.4684396,1785043496.4676287,upsert,0,64,RateFIFO,3163096543987652428,0.0008108615875244141,True,,forwarded,,88
16096,2048,update,1785043496.4685898,,1785043496.4679039,upsert,0,64,RateFIFO,15769623694692820738,0.0006859302520751953,False,,suppressed,rate_limit,89
16096,2048,update,1785043496.4686797,,1785043496.4681394,upsert,0,64,RateFIFO,15769623694692820738,0.0005402565002441406,False,,suppressed,rate_limit,90
16096,2048,update,1785043496.46892,,1785043496.4683483,upsert,0,64,RateFIFO,9971321710674973507,0.0005717277526855469,False,,suppressed,rate_limit,91
16096,4096,update,1785043498.7770634,,1785043498.7767048,upsert,0,64,RateFIFO,12613465747135452669,0.00035858154296875,True,,enqueued,,92
